Izborna jedinica;Država;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  ,  Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  ANTONIO BARNJAK;AKCIJA MLADIH - AM  , Nositelj liste:  IRENA PERIÆ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  MATE BULJUBAŠIÆ ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MIŠO VERAJA ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DALMATINSKA LIBERALNA STRANKA - DLS  , Nositelj liste:  ANTE TEŠIJA;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;GLAS RAZUMA  , Nositelj liste:  STJEPAN RADILOVIÆ, dipl. organizator poslovanja ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , HRVATSKA GRAÐANSKA STRANKA - HGS  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  mr.sc. STIPO GABRIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  VEDRAN UJEVIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  MARTINA SUÈIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. STIPISLAV JADRIJEVIÆ, dr.med.;NEOVISNA LISTA  , Nositelj liste:  STEVKO MARINKOVIÆ;NEOVISNA LISTA  , Nositelj liste:  JURICA TUCAK;NEOVISNA LISTA  , Nositelj liste:  NIKO VISKOVIÆ, dr.med. ;NEOVISNA LISTA  , Nositelj liste:  SINIŠA VUCO;NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA;OBITELJSKA STRANKA - OS  , Nositelj liste:  IVICA ŠKILJO  ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA PARTIJA HRVATSKE - SPH  , Nositelj liste:  dr.sc. SLOBODAN MARKO BEROŠ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  RANKO ADORIÆ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ;ZELENA LISTA  , Nositelj liste:  IVICA SUMIÆ ;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;15;biraèko mjesto broj 15 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;16;biraèko mjesto broj 16 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;11;11;11;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;17;biraèko mjesto broj 17 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;18;biraèko mjesto broj 18 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;8;8;8;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;19;biraèko mjesto broj 19 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;20;biraèko mjesto broj 20 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;6;6;6;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;21;biraèko mjesto broj 21 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;10;10;10;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;22;biraèko mjesto broj 22 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;2;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;23;biraèko mjesto broj 23 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;8;8;8;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;24;biraèko mjesto broj 24 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;6;6;6;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;25;biraèko mjesto broj 25 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;7;7;7;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;26;biraèko mjesto broj 26 - TUZLA;KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, TUZLA;"GKUD ""BOSNA"", KAZAN MAHALA 2, 75000 TUZLA, BOSNA I HERCEGOVINA";0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;27;biraèko mjesto broj 27 - TUZLA;KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, TUZLA;"GKUD ""BOSNA"", KAZAN MAHALA 2, 75000 TUZLA, BOSNA I HERCEGOVINA";0;2;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;28;biraèko mjesto broj 28 - TUZLA;KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, TUZLA;"GKUD ""BOSNA"", KAZAN MAHALA 2, 75000 TUZLA, BOSNA I HERCEGOVINA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;29;biraèko mjesto broj 29 - TUZLA;KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, TUZLA;"GKUD ""BOSNA"", KAZAN MAHALA 2, 75000 TUZLA, BOSNA I HERCEGOVINA";0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;30;biraèko mjesto broj 30 - TUZLA;KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, TUZLA;"GKUD ""BOSNA"", KAZAN MAHALA 2, 75000 TUZLA, BOSNA I HERCEGOVINA";0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;BUGARSKA;1;biraèko mjesto broj 1 - SOFIJA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI BUGARSKOJ;VELIKO TRNOVO 32, 1504 SOFIJA, BUGARSKA;0;6;6;5;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;CRNA GORA;1;biraèko mjesto broj 1 - PODGORICA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U CRNOJ GORI;VLADA ÆETKOVIÆA 2, PODGORICA, CRNA GORA;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;CRNA GORA;2;biraèko mjesto broj 2 - KOTOR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U CRNOJ GORI, KOTOR;TRG OD ORUŽJA BB, KOTOR, CRNA GORA;0;7;7;7;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;ÈEŠKA REPUBLIKA;1;biraèko mjesto broj 1 - PRAG;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ÈEŠKOJ REPUBLICI;V PRUHLEDU 9, 16200 PRAHA 6, ÈEŠKA;0;10;10;9;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;ÈILE;1;biraèko mjesto broj 1 - SANTIAGO DE CHILE;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI ÈILE;EZEQUIAS ALLIENDE 2370, PROVIDENCIA;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DANSKA;1;biraèko mjesto broj 1 - KOPENHAGEN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI DANSKOJ;FREDERIKSGADE 19, 1ST. FL., 1265 COPENHAGEN K, KRALJEVINA DANSKA;0;14;14;14;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;EGIPAT;1;biraèko mjesto broj 1 - KAIRO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ARAPSKOJ REPUBLICI EGIPAT;3 ABOU EL FEDA STREET, ZAMALEK, CAIRO, EGYPT;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;FINSKA;1;biraèko mjesto broj 1 - HELSINKI;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI FINSKOJ;KRUUNUVUORENKATU 5, 00160 HELSINKI, FINSKA;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;FRANCUSKA;1;biraèko mjesto broj 1 - PARIZ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U FRANCUSKOJ REPUBLICI;7, SQUARE THIERS, 75116 PARIS, FRANCUSKA;0;34;34;33;1;0;0;0;0;0;0;0;0;0;0;16;1;1;1;1;1;1;0;0;6;1;0;0;0;0;0;0;3;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;GRÈKA;1;biraèko mjesto broj 1 - ATENA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U HELENSKOJ REPUBLICI;TZAVELA 4, NEO PSYCHICO, 15451 ATHENS, GREECE;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;INDIJA;1;biraèko mjesto broj 1 - NEW DELHI;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI INDIJI;A-15, WEST END NEW DELHI 110021,REPUBLIKA INDIJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;INDONEZIJA;1;biraèko mjesto broj 1 - JAKARTA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI INDONEZIJI;MENARA MULIA-SUITE, FLOOR 28, 2801, JL JEND. GATOT SUBROTO KAV. 9-11,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IRAN;1;biraèko mjesto broj 1 - TEHERAN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ISLAMSKOJ REPUBLICI IRANU;1. BEHESTAN BR. 25, AVIA PASDARAN, TEHERAN, ISLAMSKA REPUBLIKA IRAN;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IRSKA;1;biraèko mjesto broj 1 - DUBLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U IRSKOJ;ADELAIDE CHAMBERS, PETER STREET, DUBLIN 8, IRSKA;0;5;5;4;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;ITALIJA;1;biraèko mjesto broj 1 - MILANO;GENERALNI KONZULAT REPUBLIKE HRVATSKE U TALIJANSKOJ REPUBLICI;PIAZZALE LUIGI CADORNA 15/1, 20123 MILANO, TALIJANSKA REPUBLIKA;0;21;21;21;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;5;0;0;0;2;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;ITALIJA;2;biraèko mjesto broj 2 - RIM;VELEPOSLANSTVO REPUBLIKE HRVATSKE U TALIJANSKOJ REPUBLICI;VIA LUIGI BODIO 74-76 00191 ROMA, TALIJANSKA REPUBLIKA;0;58;58;58;0;0;0;0;0;0;0;0;1;0;0;26;1;0;0;2;3;0;6;0;5;0;0;0;2;0;0;0;12;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;ITALIJA;3;biraèko mjesto broj 3 - TRST;GENERALNI KONZULAT REPUBLIKE HRVATSKE U TALIJANSKOJ REPUBLICI, TRST;PIAZZA GOLDONI 9, 34122 TRST, TALIJANSKA REPUBLIKA;0;14;14;14;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IZRAEL;1;biraèko mjesto broj 1 - TEL AVIV;VELEPOSLANSTVO REPUBLIKE HRVATSKE U DRŽAVI IZRAEL;2, WEITZMAN STREET, AMOT INVESTMENT BUILDING, 8TH FLOOR, TEL AVIV 6423;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;JAPAN;1;biraèko mjesto broj 1 - TOKYO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U JAPANU;3-3-10 HIROO, SHIBUYA-KU, TOKYO 1500-0012, JAPAN;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;JUŽNOAFRIÈKA REPUBLIKA;1;biraèko mjesto broj 1 - PRETORIJA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI JUŽNOJ AFRICI;1160 CHURCH STREET, COLBYN 0083, PRETORIA, SOUTH AFRICA;0;15;15;15;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KANADA;1;biraèko mjesto broj 1 - MISSISSAUGA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U KANADI, MISSISSAUGA;918 DUNDAS STREET EAST, SUITE 302, MISSISSAUGA, ONTARIO L4Y 2B8, KANAD;0;56;56;56;0;0;0;0;0;1;0;3;0;0;0;40;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KANADA;2;biraèko mjesto broj 2 - MISSISSAUGA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U KANADI, MISSISSAUGA;918 DUNDAS STREET EAST, SUITE 302, MISSISSIAUGA, ONTARIO L4Y 2B8, KANA;0;12;12;12;0;0;0;0;0;0;1;0;0;0;0;8;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KANADA;3;biraèko mjesto broj 3 - OTTAWA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KANADI;229 CHAPEL STREET, OTTAWA, ONTARIO K1N 7Y6, KANADA;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KINA;1;biraèko mjesto broj 1 - PEKING;VELEPOSLANSTVO REPUBLIKE HRVATSKE U NARODNOJ REPUBLICI KINI;SAN LI TUN DIPLOMATIC OFFICE BUILDING 2-7-2, 100600 BEIJING, NR KINA;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KOSOVO;1;biraèko mjesto broj 1 - PRIŠTINA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI KOSOVO;FEHMI AGANI 69/A, PRISHTINË, KOSOVO;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MAÐARSKA;1;biraèko mjesto broj 1 - BUDIMPEŠTA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI MAÐARSKOJ;MUNKÁCSY MIHÁLY U. 15, 1063 BUDAPEST, MAÐARSKA;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MAÐARSKA;2;biraèko mjesto broj 2 - PEÈUH;GENERALNI KONZULAT REPUBLIKE HRVATSKE U REPUBLICI MAÐARSKOJ, PEÈUH;IFJUSAG U. 11, 7624 PECS, MAÐARSKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MAKEDONIJA;1;biraèko mjesto broj 1 - SKOPJE;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI MAKEDONIJI;MITROPOLIT TEODOSIE GOLOGANOV 44, 1000 SKOPJE, MAKEDONIJA;0;6;6;6;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MALEZIJA;1;biraèko mjesto broj 1 - KUALA LUMPUR;VELEPOSLANSTVO REPUBLIKE HRVATSKE U MALEZIJI;NO. 3, JALAN MENGKUANG, OFF JALAN RU, OFF JALAN AMPANG, 55000 KUALA LU;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MAROKO;1;biraèko mjesto broj 1 - RABAT;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI MAROKU;73, RUE MARNISSA (SOUISSI), 10000 RABAT, MAROKO;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;NIZOZEMSKA;1;biraèko mjesto broj 1 - DEN HAAG;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI NIZOZEMSKOJ;AMALIASTRAAT 16, 2514 JC DEN HAAG, NIZOZEMSKA;0;15;15;15;0;0;0;0;0;0;0;0;1;0;0;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;NORVEŠKA;1;biraèko mjesto broj 1 - OSLO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI NORVEŠKOJ;DRAMMENSVEIEN 82, 0244 OSLO, NORVEŠKA;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;NOVI ZELAND;1;biraèko mjesto broj 1 - AUCKLAND;GENERALNI KONZULAT REPUBLIKE HRVATSKE U NOVOM ZELANDU;291 LINCOLN ROAD, HENDERSON, AUCKLAND, NOVI ZELAND;0;7;7;7;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;NJEMAÈKA;1;biraèko mjesto broj 1 - BERLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SR NJEMAÈKOJ;AHORNSTR. 4, 10787 BERLIN, SR NJEMAÈKA;0;36;36;36;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;4;4;0;0;0;7;0;0;0;0;0;0;0;6;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;NJEMAÈKA;2;biraèko mjesto broj 2 - BERLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SR NJEMAÈKOJ;AHORNSTR. 4, 10787 BERLIN, SR NJEMAÈKA;0;23;23;23;0;0;0;0;0;0;0;0;0;0;0;11;1;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;0;0;;;;;;;;;;;;;;;
